airport,carrier,carrier_name,month,airport_name
MSY,AS,Alaska Airlines Inc.,8,"New Orleans, LA: Louis Armstrong New Orleans International"
OAK,AS,Alaska Airlines Inc.,8,"Oakland, CA: Metro Oakland International"
OGG,AS,Alaska Airlines Inc.,8,"Kahului, HI: Kahului Airport"
OKC,AS,Alaska Airlines Inc.,8,"Oklahoma City, OK: Will Rogers World"
OMA,AS,Alaska Airlines Inc.,8,"Omaha, NE: Eppley Airfield"
OME,AS,Alaska Airlines Inc.,8,"Nome, AK: Nome Airport"
ONT,AS,Alaska Airlines Inc.,8,"Ontario, CA: Ontario International"
ORD,AS,Alaska Airlines Inc.,8,"Chicago, IL: Chicago O'Hare International"
OTZ,AS,Alaska Airlines Inc.,8,"Kotzebue, AK: Ralph Wien Memorial"
PDX,AS,Alaska Airlines Inc.,8,"Portland, OR: Portland International"
PHL,AS,Alaska Airlines Inc.,8,"Philadelphia, PA: Philadelphia International"
PHX,AS,Alaska Airlines Inc.,8,"Phoenix, AZ: Phoenix Sky Harbor International"
PIT,AS,Alaska Airlines Inc.,8,"Pittsburgh, PA: Pittsburgh International"
PSC,AS,Alaska Airlines Inc.,8,"Pasco/Kennewick/Richland, WA: Tri Cities"
PSG,AS,Alaska Airlines Inc.,8,"Petersburg, AK: Petersburg James A Johnson"
PSP,AS,Alaska Airlines Inc.,8,"Palm Springs, CA: Palm Springs International"
RDM,AS,Alaska Airlines Inc.,8,"Bend/Redmond, OR: Roberts Field"
RDU,AS,Alaska Airlines Inc.,8,"Raleigh/Durham, NC: Raleigh-Durham International"
RNO,AS,Alaska Airlines Inc.,8,"Reno, NV: Reno/Tahoe International"
RSW,AS,Alaska Airlines Inc.,8,"Fort Myers, FL: Southwest Florida International"
SAN,AS,Alaska Airlines Inc.,8,"San Diego, CA: San Diego International"
SAT,AS,Alaska Airlines Inc.,8,"San Antonio, TX: San Antonio International"
SBA,AS,Alaska Airlines Inc.,8,"Santa Barbara, CA: Santa Barbara Municipal"
SCC,AS,Alaska Airlines Inc.,8,"Deadhorse, AK: Deadhorse Airport"
SEA,AS,Alaska Airlines Inc.,8,"Seattle, WA: Seattle/Tacoma International"
SFO,AS,Alaska Airlines Inc.,8,"San Francisco, CA: San Francisco International"
SIT,AS,Alaska Airlines Inc.,8,"Sitka, AK: Sitka Rocky Gutierrez"
SJC,AS,Alaska Airlines Inc.,8,"San Jose, CA: Norman Y. Mineta San Jose International"
SLC,AS,Alaska Airlines Inc.,8,"Salt Lake City, UT: Salt Lake City International"
SMF,AS,Alaska Airlines Inc.,8,"Sacramento, CA: Sacramento International"
SNA,AS,Alaska Airlines Inc.,8,"Santa Ana, CA: John Wayne Airport-Orange County"
STL,AS,Alaska Airlines Inc.,8,"St. Louis, MO: St Louis Lambert International"
STS,AS,Alaska Airlines Inc.,8,"Santa Rosa, CA: Charles M. Schulz - Sonoma County"
TPA,AS,Alaska Airlines Inc.,8,"Tampa, FL: Tampa International"
TUS,AS,Alaska Airlines Inc.,8,"Tucson, AZ: Tucson International"
WRG,AS,Alaska Airlines Inc.,8,"Wrangell, AK: Wrangell Airport"
YAK,AS,Alaska Airlines Inc.,8,"Yakutat, AK: Yakutat Airport"
ABQ,B6,JetBlue Airways,8,"Albuquerque, NM: Albuquerque International Sunport"
ACK,B6,JetBlue Airways,8,"Nantucket, MA: Nantucket Memorial"
ALB,B6,JetBlue Airways,8,"Albany, NY: Albany International"
ATL,B6,JetBlue Airways,8,"Atlanta, GA: Hartsfield-Jackson Atlanta International"
AUS,B6,JetBlue Airways,8,"Austin, TX: Austin - Bergstrom International"
AVL,B6,JetBlue Airways,8,"Asheville, NC: Asheville Regional"
BDL,B6,JetBlue Airways,8,"Hartford, CT: Bradley International"
BNA,B6,JetBlue Airways,8,"Nashville, TN: Nashville International"
BOS,B6,JetBlue Airways,8,"Boston, MA: Logan International"
BQN,B6,JetBlue Airways,8,"Aguadilla, PR: Rafael Hernandez"
BTV,B6,JetBlue Airways,8,"Burlington, VT: Burlington International"
BUF,B6,JetBlue Airways,8,"Buffalo, NY: Buffalo Niagara International"
BUR,B6,JetBlue Airways,8,"Burbank, CA: Bob Hope"
BWI,B6,JetBlue Airways,8,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall"
BZN,B6,JetBlue Airways,8,"Bozeman, MT: Bozeman Yellowstone International"
CHS,B6,JetBlue Airways,8,"Charleston, SC: Charleston AFB/International"
CLE,B6,JetBlue Airways,8,"Cleveland, OH: Cleveland-Hopkins International"
CLT,B6,JetBlue Airways,8,"Charlotte, NC: Charlotte Douglas International"
DCA,B6,JetBlue Airways,8,"Washington, DC: Ronald Reagan Washington National"
