month,carrier,carrier_name,airport,airport_name
8,AS,Alaska Airlines Inc.,MCO,"Orlando, FL: Orlando International"
8,AS,Alaska Airlines Inc.,MIA,"Miami, FL: Miami International"
8,AS,Alaska Airlines Inc.,MKE,"Milwaukee, WI: General Mitchell International"
8,AS,Alaska Airlines Inc.,MSP,"Minneapolis, MN: Minneapolis-St Paul International"
8,AS,Alaska Airlines Inc.,MSY,"New Orleans, LA: Louis Armstrong New Orleans International"
8,AS,Alaska Airlines Inc.,OAK,"Oakland, CA: Metro Oakland International"
8,AS,Alaska Airlines Inc.,OGG,"Kahului, HI: Kahului Airport"
8,AS,Alaska Airlines Inc.,OKC,"Oklahoma City, OK: Will Rogers World"
8,AS,Alaska Airlines Inc.,OMA,"Omaha, NE: Eppley Airfield"
8,AS,Alaska Airlines Inc.,OME,"Nome, AK: Nome Airport"
8,AS,Alaska Airlines Inc.,ONT,"Ontario, CA: Ontario International"
8,AS,Alaska Airlines Inc.,ORD,"Chicago, IL: Chicago O'Hare International"
8,AS,Alaska Airlines Inc.,OTZ,"Kotzebue, AK: Ralph Wien Memorial"
8,AS,Alaska Airlines Inc.,PDX,"Portland, OR: Portland International"
8,AS,Alaska Airlines Inc.,PHL,"Philadelphia, PA: Philadelphia International"
8,AS,Alaska Airlines Inc.,PHX,"Phoenix, AZ: Phoenix Sky Harbor International"
8,AS,Alaska Airlines Inc.,PIT,"Pittsburgh, PA: Pittsburgh International"
8,AS,Alaska Airlines Inc.,PSC,"Pasco/Kennewick/Richland, WA: Tri Cities"
8,AS,Alaska Airlines Inc.,PSG,"Petersburg, AK: Petersburg James A Johnson"
8,AS,Alaska Airlines Inc.,PSP,"Palm Springs, CA: Palm Springs International"
8,AS,Alaska Airlines Inc.,RDM,"Bend/Redmond, OR: Roberts Field"
8,AS,Alaska Airlines Inc.,RDU,"Raleigh/Durham, NC: Raleigh-Durham International"
8,AS,Alaska Airlines Inc.,RNO,"Reno, NV: Reno/Tahoe International"
8,AS,Alaska Airlines Inc.,RSW,"Fort Myers, FL: Southwest Florida International"
8,AS,Alaska Airlines Inc.,SAN,"San Diego, CA: San Diego International"
8,AS,Alaska Airlines Inc.,SAT,"San Antonio, TX: San Antonio International"
8,AS,Alaska Airlines Inc.,SBA,"Santa Barbara, CA: Santa Barbara Municipal"
8,AS,Alaska Airlines Inc.,SCC,"Deadhorse, AK: Deadhorse Airport"
8,AS,Alaska Airlines Inc.,SEA,"Seattle, WA: Seattle/Tacoma International"
8,AS,Alaska Airlines Inc.,SFO,"San Francisco, CA: San Francisco International"
8,AS,Alaska Airlines Inc.,SIT,"Sitka, AK: Sitka Rocky Gutierrez"
8,AS,Alaska Airlines Inc.,SJC,"San Jose, CA: Norman Y. Mineta San Jose International"
8,AS,Alaska Airlines Inc.,SLC,"Salt Lake City, UT: Salt Lake City International"
8,AS,Alaska Airlines Inc.,SMF,"Sacramento, CA: Sacramento International"
8,AS,Alaska Airlines Inc.,SNA,"Santa Ana, CA: John Wayne Airport-Orange County"
